severity_source,source_platform,eligible_rows,critical_or_high_rows,critical_or_high_percent
bounty_graded,besu,3,2,66.667
bounty_graded,consensus-specs,1,1,100.0
bounty_graded,erigon,7,0,0.0
bounty_graded,geth,8,6,75.0
bounty_graded,grandine,2,0,0.0
bounty_graded,lighthouse,6,2,33.333
bounty_graded,lodestar,26,4,15.385
bounty_graded,nethermind,3,0,0.0
bounty_graded,nimbus,2,1,50.0
bounty_graded,reth,2,2,100.0
llm_estimated,besu,22,0,0.0
llm_estimated,erigon,130,1,0.769
llm_estimated,geth,82,59,71.951
llm_estimated,grandine,4,0,0.0
llm_estimated,lighthouse,62,48,77.419
llm_estimated,lodestar,38,0,0.0
llm_estimated,nethermind,33,1,3.03
llm_estimated,nimbus,71,0,0.0
llm_estimated,prysm,1,1,100.0
llm_estimated,reth,54,0,0.0
llm_estimated,teku,35,0,0.0
